,State,County,FIPS,Year,Total_Chargers,Vehicles,VehiclesChevrolet,VehiclesChevrolet_pct,Total_Chargers_PM2,pclon10,pclat10
102,NY,Albany,36001,2012,5.0,141,23.0,0.16312056737588654,0.00956388676358072,-73.81304,42.678976
103,NY,Albany,36001,2013,9.0,195,37.0,0.18974358974358974,0.017214996174445298,-73.81304,42.678976
104,NY,Albany,36001,2014,33.0,554,49.0,0.08844765342960287,0.06312165263963275,-73.81304,42.678976
105,NY,Albany,36001,2015,34.0,593,59.0,0.09949409780775716,0.0650344299923489,-73.81304,42.678976
106,NY,Albany,36001,2016,38.0,566,88.0,0.15547703180212016,0.07268553940321347,-73.81304,42.678976
107,NY,Albany,36001,2017,40.0,762,134.0,0.17585301837270342,0.07651109410864576,-73.81304,42.678976
108,NY,Albany,36001,2018,72.0,1090,155.0,0.14220183486238533,0.13771996939556236,-73.81304,42.678976
109,NY,Albany,36001,2019,194.0,1344,169.0,0.12574404761904762,0.3710788064269319,-73.81304,42.678976
110,NY,Albany,36001,2020,379.0,1642,179.0,0.10901339829476248,0.7249426166794186,-73.81304,42.678976
111,NY,Allegany,36003,2010,0.0,9,0.0,0.0,0.0,-78.019297,42.228245
112,NY,Allegany,36003,2011,0.0,8,1.0,0.125,0.0,-78.019297,42.228245
113,NY,Allegany,36003,2012,0.0,10,2.0,0.2,0.0,-78.019297,42.228245
114,NY,Allegany,36003,2013,0.0,13,4.0,0.3076923076923077,0.0,-78.019297,42.228245
115,NY,Allegany,36003,2014,0.0,21,5.0,0.2380952380952381,0.0,-78.019297,42.228245
116,NY,Allegany,36003,2015,0.0,22,8.0,0.3636363636363637,0.0,-78.019297,42.228245
117,NY,Allegany,36003,2016,0.0,21,8.0,0.3809523809523809,0.0,-78.019297,42.228245
118,NY,Allegany,36003,2017,0.0,32,11.0,0.34375,0.0,-78.019297,42.228245
119,NY,Allegany,36003,2018,0.0,39,11.0,0.28205128205128205,0.0,-78.019297,42.228245
120,NY,Allegany,36003,2019,2.0,50,14.0,0.28,0.00194304922715217,-78.019297,42.228245
121,NY,Allegany,36003,2020,6.0,57,11.0,0.19298245614035087,0.00582914768145651,-78.019297,42.228245
122,NY,Bronx,36005,2010,0.0,41,0.0,0.0,0.0,-73.882363,40.849354
123,NY,Bronx,36005,2011,0.0,43,1.0,0.02325581395348837,0.0,-73.882363,40.849354
124,NY,Bronx,36005,2012,0.0,70,8.0,0.11428571428571427,0.0,-73.882363,40.849354
